08:59:09 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
08:59:09 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
08:59:09 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
08:59:09 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
08:59:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
08:59:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
08:59:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
08:59:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
08:59:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
08:59:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
08:59:11 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 76.844970703125 ms
08:59:18 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 86.217041015625 ms
08:59:38 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
08:59:38 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
08:59:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:59:38 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
08:59:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:59:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:59:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:59:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:59:39 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
08:59:40 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 69.0791015625 ms
08:59:45 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 68.31396484375 ms
09:00:00 [extension:sw] INFO  RPC (npm:@metamask/institutional-wallet-snap): Object -> Object
09:00:00 [extension:sw] INFO  RPC (npm:@metamask/institutional-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:08 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:09 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
09:00:09 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:09 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:09 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:10 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 63.714111328125 ms
09:00:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:10 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
09:00:11 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 64.593017578125 ms
09:00:38 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
09:00:38 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
09:00:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
09:00:38 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
09:00:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
09:00:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
09:00:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
